央视频道,#genre#
CCTV1,http://192.168.100.1:6799/rtp/239.49.8.19:9614
CCTV2,http://192.168.100.1:6799/rtp/239.49.8.50:9802
CCTV3,http://192.168.100.1:6799/rtp/239.49.0.28:8000
CCTV4,http://192.168.100.1:6799/rtp/239.49.8.51:9806
CCTV5,http://192.168.100.1:6799/rtp/239.49.0.29:8000
CCTV5+,http://192.168.100.1:6799/rtp/239.49.8.18:9610
CCTV6,http://192.168.100.1:6799/rtp/239.49.0.73:8000
CCTV7,http://192.168.100.1:6799/rtp/239.49.0.126:8000
CCTV8,http://192.168.100.1:6799/rtp/239.49.0.79:8000
CCTV9,http://192.168.100.1:6799/rtp/239.49.8.53:9814
CCTV10,http://192.168.100.1:6799/rtp/239.49.8.54:9818
CCTV11,http://192.168.100.1:6799/rtp/239.49.0.127:8000
CCTV12,http://192.168.100.1:6799/rtp/239.49.8.55:9822
CCTV13,http://192.168.100.1:6799/rtp/239.49.8.109:8000
CCTV14,http://192.168.100.1:6799/rtp/239.49.8.56:9826
CCTV15,http://192.168.100.1:6799/rtp/239.49.0.128:8000
CCTV16,http://192.168.100.1:6799/rtp/239.49.8.31:8000
CCTV17,http://192.168.100.1:6799/rtp/239.49.8.52:9810
CCTV4K,http://192.168.100.1:6799/rtp/239.49.0.82:8000
CCTV8K,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CCTV8K,http://107.150.60.122/live/cctv8k.m3u8
CCTV8K,http://yp.qqqtv.top/1/api.php?id=CCTV-8K%E8%B6%85%E9%AB%98%E6%B8%85&auth=666858
CETV1,http://192.168.100.1:6799/rtp/239.49.8.115:8000
CETV4,http://192.168.100.1:6799/rtp/239.49.0.125:8000
中数传媒,#genre#
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC动作电影,http://192.151.150.154/live/chcdz.m3u8
CHC影迷电影,http://192.151.150.154/live/chchd.m3u8
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
法治天地,http://192.168.100.1:6799/rtp/239.49.0.96:8000
游戏风云,http://192.168.100.1:6799/rtp/239.49.8.41:8012
茶频道,http://192.168.100.1:6799/rtp/239.49.0.146:8000
武术世界,http://192.168.100.1:6799/rtp/239.49.0.205:8000
金鹰纪实,http://192.168.100.1:6799/rtp/239.49.8.79:8000
文物宝库,http://192.168.100.1:6799/rtp/239.49.0.209:8000
快乐垂钓,http://192.168.100.1:6799/rtp/239.49.0.114:8000
生活时尚,http://192.168.100.1:6799/rtp/239.49.8.40:8004
中国天气,http://192.168.100.1:6799/rtp/239.49.0.94:8000
乐游,http://192.168.100.1:6799/rtp/239.49.8.44:8036
动漫秀场,http://192.168.100.1:6799/rtp/239.49.8.43:8028
东方财经,http://192.168.100.1:6799/rtp/239.49.0.95:8000
第一财经,http://192.168.100.1:6799/rtp/239.49.8.37:8000
